epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,449.027,2.59382,3.69604,2.77334,0.69195,0.54984,0.65374,0.28664,1.913,2.11976,2.03353,0.00999534,0.00333178,0.00999534,0.00333178,0.00999534,0.00333178,0.00999534,0.00333178
2,765.317,1.9948,2.14861,2.22143,0.59729,0.69927,0.67022,0.29819,1.77625,1.78563,1.98638,0.0198634,0.00662112,0.0198634,0.00662112,0.0198634,0.00662112,0.0198634,0.00662112
3,1046.96,1.83454,1.94533,2.0933,0.7762,0.70264,0.76768,0.42913,1.53192,1.46309,1.78669,0.0295994,0.00986647,0.0295994,0.00986647,0.0295994,0.00986647,0.0295994,0.00986647
4,1322.63,1.74406,1.86148,2.02179,0.75862,0.73798,0.77805,0.41061,1.61042,1.44364,1.90127,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1589.15,1.67098,1.71933,1.9597,0.80305,0.79938,0.82347,0.47714,1.46752,1.24829,1.7427,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1855.25,1.62523,1.6563,1.93256,0.82068,0.84303,0.86317,0.52003,1.3594,1.17508,1.69696,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,2120.1,1.59017,1.52961,1.9022,0.86645,0.84649,0.88156,0.55158,1.32383,1.10355,1.63228,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,2408.51,1.56883,1.4884,1.86801,0.84896,0.85121,0.8898,0.55084,1.30109,1.04966,1.59131,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,2681.27,1.53533,1.43359,1.84209,0.8736,0.8653,0.90373,0.5781,1.29506,0.98981,1.63095,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,3044.66,1.52003,1.40816,1.84474,0.89464,0.84653,0.89711,0.5909,1.25295,0.92022,1.56643,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,3345.48,1.48928,1.34563,1.81223,0.85846,0.85679,0.89845,0.58418,1.27558,0.92843,1.57347,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,3655.81,1.49278,1.3094,1.81048,0.87434,0.87506,0.91059,0.61746,1.21125,0.89501,1.51722,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,3928.52,1.48102,1.28998,1.79536,0.90429,0.85804,0.91649,0.59912,1.27797,0.8662,1.61481,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,4199.42,1.454,1.2681,1.7748,0.89457,0.8875,0.91991,0.60514,1.23226,0.84182,1.55929,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,4467.97,1.44624,1.24045,1.76661,0.87662,0.87743,0.9043,0.62534,1.15319,0.851,1.51031,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,4757.63,1.43489,1.20895,1.75776,0.90619,0.86721,0.9078,0.61731,1.1817,0.84783,1.53747,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,5030.81,1.41491,1.21137,1.73448,0.90094,0.88787,0.92792,0.62954,1.19151,0.78871,1.53582,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,5302.98,1.40669,1.1875,1.72874,0.88004,0.89854,0.92252,0.64889,1.14256,0.76766,1.47463,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,5570.06,1.40786,1.16701,1.74043,0.89849,0.88052,0.9236,0.65198,1.13667,0.75867,1.45917,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,5838.05,1.39847,1.14587,1.72012,0.89277,0.9073,0.93234,0.63444,1.21203,0.76155,1.51995,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
