directory,path,filename,size_bytes,size_mb,opened,fps,frame_count,duration_s,width,height,resolution,aspect,codec,label,label_token,player,fps_unusual,short_lt_0p7s,long_gt_60s,zero_frames,dup_group,session_cluster,nearest_other_video,nearest_score,phash8
assets/videos,c:\Users\karim\Desktop\Swichy\assets\videos\salah_video.mp4,salah_video.mp4,25459057,25.459,True,29.99,1682,56.077,1280,720,1280x720,1.778,h264,None,,Salah,False,False,False,False,D3_salah,S5,Salahairballtest.mp4,0.9804,00500cc815903d205021280470a850d991ab6764dae495d975780a011c00|08500b480d903d20a820980430a950d991ab27649ae495d97f7c3a114408|00d005c816905d28d021280470a950d991ab2764dae49dd9777c0a011e20|085007480c903920a824980538a850d991ab2764dae495d97f7c12015420|10d005c816905d2850215804b8a850d9912b6764dae495d977782a111c20|08d003c816905d2050215804b8aa50d991ab6764dae495d975f80a111c20|04b823480d903d20b020980470a850d991ab67649ae495d97f7c12015420|08d80bc80d903d204820a80530aa50d5912b67649ae49559777c0a015d28
assets/videos,c:\Users\karim\Desktop\Swichy\assets\videos\video8.mov,video8.mov,21386675,21.387,True,30.0,859,28.633,1280,720,1280x720,1.778,h264,None,,video8,False,False,False,False,D1_video8_session_cuts,S1,video8_shot05_set.mp4,0.9796,3153a5ed68a35b81a6120994c426e81bd1e903f307c603c90bac3b5124a0|3153a5ed68a35a81a6120994c426681a91a903f707cc03d10bac3b5124a0|3153a5ed68a35a81a61209948426681e91fb03f707cc03910bac3b5124a0|3153a5ed68a35a81a61209948426e80c91b503ef07d803910bac3b5124a0|3153a5ed68a35a81a61209948426e80c91a503eb07d403b10b6c3b5125a0|3152a5ed68a35a81a61209948426e81891b103d307b403410aac395125a0|3152a5ed68a35a81a61609948424e81891f103d307b403410aac395125a0|3152a5ed68a35a81a61609968426e83491990733065401c109ac335125a0
assets/videos,c:\Users\karim\Desktop\Swichy\assets\videos\video9.mov,video9.mov,5972236,5.972,True,30.0,401,13.367,1280,720,1280x720,1.778,h264,None,,video9,False,False,False,False,D2_video9_session_cuts,S_video9,video9_shot01_jump.mp4,0.9929,0e001c003c007000d801a003c006800f001b0036006c00d801f003c007c0|0e001c0038007000d801a0034006800d001e0034007c00d801b003c007c0|0e001c0038007000d801a0036006c00d801b0036006c00d801f003a00740|0e001c0038007000d801a0034006800d001a0034007800d801b003c007c0|0e001c0038007000d801a0034006800f001e0034007c00f801b003c007c0|0e001c0038007000d801a0034006800f001b0034007c00d801b003c007c0|0e001c0038007000d801b003c006c00f801b0036006c00d801b003a00740|0e001c0038007000d801a0034006c00f801b0036006c00d801b003a00740
assets/videos,c:\Users\karim\Desktop\Swichy\assets\videos\video_01_free_throw.mp4,video_01_free_throw.mp4,4948416,4.948,True,24.0,324,13.5,1280,720,1280x720,1.778,h264,set_shot,free_throw(body),video_0x,False,False,False,False,,,Couch2rightwing3ptshooting1_jump.mp4,0.0949,98c515472c8ed0aca45ce09149298d719155286a52442ce016509840ee40|98c515472c8ec8aca45cf09189298d719153286a524c2ce0165a9840fe40|98c515472c8ed0aca45ce09149298d719155286a524c2de0164a9840fe40|98c51547288ed0aca45cc091c9298d719155286a524c2ce0164a9840fc40|9cc515472c8ed0aca45ce09149298d719155286a52542de0160a9840ee40|98c515472c8ed0aca45ce091c9298d719155286a52442de0160a9840ec40|9ac51547288ed0aca45ca09149288d749155286a52542ce0164a9840ec40|98c51547288ed0aca85ca091492989729155286a52542de0165a9840ec40
assets/videos,c:\Users\karim\Desktop\Swichy\assets\videos\video_07_side_jump_shot.mp4,video_07_side_jump_shot.mp4,2162615,2.163,True,29.99,1351,45.045,480,360,480x360,1.333,h264,jump_shot,jump,video_0x,False,False,False,False,,,Couchshooting1.mp4,0.0862,d8c9b1936336ce4fb11e643cc079a0fb8097836e061a285e10baa8737262|d8c9b1936726ce4eb51e683ed06da0eb80d683ce871d8a5c193f2a3b6c72|d8c9b1936736ce6f9c1f283e407da0f980928347059c8adc15baad3c6872|d8c9b1936326ce4f9c9e303e7078c0f901248b45058e0a5e14ddcb1f6e3e|d8c9b1936726ce4f9c9d363f707ec0f980a943a3878f1b4e161ead1b706a|d8c9b19363364e4f599eb23d787ec0f980c3a397058e4a4e101bb08d682e|d8c9b1936336ce4e9c9eb23e607e40f88052c387870e0e4e141fb85e68ac|d8c9b1936326c64e8d1f183e307e40f48153c397078f0b4e060da85868b2
assets/videos/single_shot,c:\Users\karim\Desktop\Swichy\assets\videos\single_shot\video8_shot01_set.mp4,video8_shot01_set.mp4,1345078,1.345,True,30.0,70,2.333,1280,720,1280x720,1.778,FMP4,set_shot,set,video8,False,False,False,False,D1_video8_session_cuts,S1,video8.mov,0.6705,3153a5ed68a35b81a6120994c426e81ad1fb03f707ce03d10bac3b5124a0|3153a5ed68a35b81a6120994c426e81ad1e903f707ce02d90bac3b5124a0|3153a5ed68a35b81a6120994c426e81ad1ed03f307ce02c90bac3b5124a0|3153a5ed68a35b81a61209948426e81ad1e903f707ce03c90bac3b5124a0|3153a5ed68a35b81a61209948426e81ad1e903f707ce03d90bac3b5124a0|3153a5ed68a35a81a6120994c426e81ad1e903f307c603c90bac3b5124a0|3153a5ed68a35b81a6120994c426e81b51e903f307c603c90b8c3b5124a0|3153a5ed68a35b81a6120994c426e81951e903fb07d603c10b843b5124a0
assets/videos/single_shot,c:\Users\karim\Desktop\Swichy\assets\videos\single_shot\video8_shot02_set.mp4,video8_shot02_set.mp4,1352211,1.352,True,30.0,67,2.233,1280,720,1280x720,1.778,FMP4,set_shot,set,video8,False,False,False,False,D1_video8_session_cuts,S1,video8.mov,0.8484,3153a5ed68a35a81a6120994c426e81ad1e903f707ce03d90bac3b5124a0|3153a5ed68a35a81a6120994c426e81ad1ed03f707ce03c90bac3b5124a0|3153a5ed68a35a81a6120994c426681ad1e903f307ce03c90bac3b5124a0|3153a5ed68a35a81a61209948426e81ad1e903f707ce03d90bac3b5124a0|3153a5ed68a35a81a61209948426e81ad1e903f707ce03d90bac3b5124b0|3153a5ed68a35a81a6120994c426e81ad1e903f707ce03d90bac3b5124a0|3153a5ed68a35b81a6120994c426e81ad1e903f707ce03c90bac3b5124a0|3153a5ed68a35a81a6120994c426e81b51ed03f307c603c90b8c3b5124a0
assets/videos/single_shot,c:\Users\karim\Desktop\Swichy\assets\videos\single_shot\video8_shot03_set.mp4,video8_shot03_set.mp4,1652060,1.652,True,30.0,81,2.7,1280,720,1280x720,1.778,FMP4,set_shot,set,video8,False,False,False,False,D1_video8_session_cuts,S1,video8.mov,0.8042,3153a5ed68a35a81a6120994c426e81951e903f307c603c90b8c3b5124a0|3153a5ed68a35a81a61209948426e81911e903fb07d603c10bac3b5124a0|3153a5ed68a35a81a6120994c426681a91a903f707cc03d10bac3b5124a0|3153a5ed68a35a81a61209944426681a91ab03f707cc03910bac3b5124a0|3153a5ed68a35a81a61209948426681a91ab03f707cc03910bac3b5124a0|3153a5ed68a35a81a6120994c426681a91ab03f707cc03910bac3b5124a0|3153a5ed68a35b81a6120994c426681a91ab03f707cc03910bac3b5124a0|3153a5ed68a35a81a61209948026681a91ab03f707c403d10bac3b5124a0
assets/videos/single_shot,c:\Users\karim\Desktop\Swichy\assets\videos\single_shot\video8_shot04_set.mp4,video8_shot04_set.mp4,1816461,1.816,True,30.0,85,2.833,1280,720,1280x720,1.778,FMP4,set_shot,set,video8,False,False,False,False,D1_video8_session_cuts,S1,video8.mov,0.6419,3153a5ed68a35a81a61209948426e81b11a903f307c603c90b8c3b5124a0|3153a5ed68a35a81a61609948426681e91ab03e707cc03910bac3b5124a0|3153a5ed68a35a81a61209948426681e91bb03f707cc03910bac3b5124a0|3153a5ed68a35a81a61209944426681a91bb03f707cc03910bac3b5124a0|3153a5ed68a35a81a61209948426681e91bb03e707cc03910bac3b5124a0|3153a5ed68a35a81a61209948426681e91bb03e707cc03910bac3b5124a0|3153a5ed68a35a81a61209948426681e91bb03f707cc03910bac3b5124a0|3153a5ed68a35281a61209948026681a91bb03f707cc03d10bac3b5124a0
assets/videos/single_shot,c:\Users\karim\Desktop\Swichy\assets\videos\single_shot\video8_shot05_set.mp4,video8_shot05_set.mp4,1330535,1.331,True,30.0,71,2.367,1280,720,1280x720,1.778,FMP4,set_shot,set,video8,False,False,False,False,D1_video8_session_cuts,S1,video8.mov,0.9796,3153a5ed68a35a81a61209948426e81c91b503eb07dc03b10b6c3b5124a0|3153a5ed68a35a81a61209948426e81c91b503eb07dc03b10b6c3b5125a0|3153a5ed68a35a81a61209948426e81c91b503eb07dc03b10b6c3b5124a0|3153a5ed68a35a81a6120994c426e81491b503eb07dc03910b2c3b5124a0|3153a5ed68a35281a61209948426e80c91b503eb07d403b10b2c3b5125a0|3153a5ed68a35a81a61209948426e80c91b503eb07dc03b10b6c3b5124a0|3153a5ed68a35a81a61209948426e80c91b503eb07dc03910b2c3b5124a0|3153a5ed68a35a81a61209948426e80c91b503eb07d803910bac3b5124a0
