video,group,name,error,fps,n_frames,duration_s,width,height,sampled_frames,people_max,people_median,people_max_conf,people_mean_conf,frac_frames_2plus,multi_person,frac_no_pose,median_key_visibility,n_frames_lowvis,frac_lowvis,shooter_jump_median_diag_per_s,shooter_jump_p90_diag_per_s,cam_shift_median_wpers,cam_shift_p90_wpers,absdiff_median,lum_mean,lum_std,content_area_frac,content_box,subject_h_median,pair_iou_median,multi_frames,frac_multi_overlapping,yolo_people_max,yolo_people_median,yolo_frac_2plus,yolo_biggest_h_median,yolo_second_h_median,panel_frac,panel_box,panel_lum_mean,panel_lum_std,frac_intruder_in_crop,median_iou_nearest,yolo_shooter_jump_bh_per_s,second_person_size_ratio,multi_person_yolo,subject_h_yolo,bucket,bucket_reason
c:\Users\karim\Desktop\Swichy\assets\videos\salah_video.mp4,videos,salah_video.mp4,,29.99,1682,56.08,1280,720,32,1,1.0,1,0.59,0.0,False,0.406,0.9831,0,0.0,0.0853,0.6225,0.0055,0.0188,0.9069,122.8,44.6,1.0,"0,0,1280,720",0.3797,,0,,1,1.0,0.0,0.415,,1.0,"0,0,1280,720",122.9,44.5,,,,,False,0.415,REJECT,"56s multi-shot compilation, not a single-shot sample"
c:\Users\karim\Desktop\Swichy\assets\videos\video8.mov,videos,video8.mov,,30.0,859,28.63,1280,720,32,1,0.0,1,0.47,0.0,False,0.531,0.9075,0,0.0,0.0887,0.2827,0.0018,0.0052,0.2773,116.4,52.4,1.0,"0,0,1280,720",0.2568,,0,,1,1.0,0.0,0.267,,1.0,"0,0,1280,720",116.4,52.4,,,,,False,0.267,REJECT,already cut into the single_shot clips (manifest.json); keeping both duplicates every shot
c:\Users\karim\Desktop\Swichy\assets\videos\video9.mov,videos,video9.mov,,30.0,401,13.37,1280,720,32,1,0.0,1,0.47,0.0,False,0.531,0.9753,0,0.0,0.1261,1.132,0.0046,0.0126,0.1967,132.0,46.9,0.317,"437,0,843,720",0.3955,,0,,1,1.0,0.0,0.283,,0.145,"524,78,749,671",136.0,49.4,,,,,False,0.283,REJECT,already cut into the single_shot clips (manifest.json); keeping both duplicates every shot
c:\Users\karim\Desktop\Swichy\assets\videos\video_01_free_throw.mp4,videos,video_01_free_throw.mp4,,24.0,324,13.5,1280,720,32,1,1.0,1,1.0,0.0,False,0.0,0.9937,0,0.0,0.051,0.1894,0.0026,0.0056,0.8697,84.5,42.4,1.0,"0,0,1280,720",0.6158,,0,,1,1.0,0.0,0.699,,1.0,"0,0,1280,720",84.4,42.3,,,,,False,0.699,REJECT,"14s multi-shot compilation, not a single-shot sample"
c:\Users\karim\Desktop\Swichy\assets\videos\video_07_side_jump_shot.mp4,videos,video_07_side_jump_shot.mp4,,29.99,1351,45.05,480,360,32,1,1.0,1,1.0,0.0,False,0.0,0.947,0,0.0,0.0092,0.0511,0.0036,0.0115,0.4902,69.5,21.2,1.0,"0,0,480,360",0.5059,,0,,1,1.0,0.0,0.559,,0.153,"180,33,282,293",61.3,28.0,,,,,False,0.559,REJECT,"45s multi-shot compilation, not a single-shot sample"
c:\Users\karim\Desktop\Swichy\assets\videos\single_shot\video8_shot01_set.mp4,single_shot,video8_shot01_set.mp4,,30.0,70,2.33,1280,720,32,1,0.0,1,0.12,0.0,False,0.875,0.9334,0,0.0,1.0495,1.1872,0.0015,0.0042,0.2466,115.0,52.3,1.0,"0,0,1280,720",0.1556,,0,,1,1.0,0.0,0.258,,0.233,"595,154,977,715",121.7,48.8,,,,,False,0.258,KEEP_NEEDS_PREPROCESSING,subject only 0.26 of frame height (no-pose 88%) -- crop+upscale
c:\Users\karim\Desktop\Swichy\assets\videos\single_shot\video8_shot02_set.mp4,single_shot,video8_shot02_set.mp4,,30.0,67,2.23,1280,720,32,1,0.0,1,0.22,0.0,False,0.781,0.8918,0,0.0,0.5656,6.404,0.0015,0.0034,0.2303,115.2,52.3,1.0,"0,0,1280,720",0.1474,,0,,1,1.0,0.0,0.258,,0.526,"429,0,1108,714",116.8,52.3,,,,,False,0.258,KEEP_NEEDS_PREPROCESSING,subject only 0.26 of frame height (no-pose 78%) -- crop+upscale
c:\Users\karim\Desktop\Swichy\assets\videos\single_shot\video8_shot03_set.mp4,single_shot,video8_shot03_set.mp4,,30.0,81,2.7,1280,720,32,1,0.0,1,0.47,0.0,False,0.531,0.8908,0,0.0,0.5083,4.8623,0.0012,0.0046,0.2879,115.2,52.4,1.0,"0,0,1280,720",0.2039,,0,,1,1.0,0.0,0.255,,0.917,"59,0,1280,692",114.1,53.0,,,,,False,0.255,KEEP_NEEDS_PREPROCESSING,subject only 0.26 of frame height (no-pose 53%) -- crop+upscale
c:\Users\karim\Desktop\Swichy\assets\videos\single_shot\video8_shot04_set.mp4,single_shot,video8_shot04_set.mp4,,30.0,85,2.83,1280,720,32,1,0.5,1,0.5,0.0,False,0.5,0.9005,0,0.0,0.4238,1.0217,0.0012,0.0041,0.2405,114.9,52.4,1.0,"0,0,1280,720",0.2583,,0,,1,1.0,0.0,0.257,,0.29,"535,129,1008,695",121.3,49.9,,,,,False,0.257,KEEP_NEEDS_PREPROCESSING,subject only 0.26 of frame height (no-pose 50%) -- crop+upscale
c:\Users\karim\Desktop\Swichy\assets\videos\single_shot\video8_shot05_set.mp4,single_shot,video8_shot05_set.mp4,,30.0,71,2.37,1280,720,32,1,0.0,1,0.41,0.0,False,0.594,0.9295,0,0.0,0.4458,0.8208,0.0019,0.0028,0.2165,114.5,52.3,1.0,"0,0,1280,720",0.2459,,0,,1,1.0,0.0,0.266,,0.479,"478,0,1144,663",113.0,52.9,,,,,False,0.266,KEEP_NEEDS_PREPROCESSING,subject only 0.27 of frame height (no-pose 59%) -- crop+upscale
